* Measurement data measured by REW V5.20.13
* Source: Umik-1  Gain: 18dB  , MICROPHONE, L, volume: 0.318. Timing signal peak level 0.0 dBFS, measurement signal peak level zero
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Aug 1, 2026 4:07:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ZMF Blackwood right
* Measurement: Blackwood R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
144.653320 107.159 -12.4567
145.019531 107.199 -13.3418
145.385742 107.159 -14.2231
145.751953 107.062 -14.7509
146.118164 106.959 -14.7787
146.484375 106.901 -14.4614
146.850586 106.905 -14.1448
147.216797 106.940 -14.1056
147.583008 106.961 -14.3682
147.949219 106.942 -14.7378
148.315430 106.886 -14.9772
148.681641 106.822 -14.9791
149.047852 106.778 -14.8208
149.414062 106.758 -14.6646
149.780273 106.747 -14.5994
150.146484 106.730 -14.5723
150.512695 106.711 -14.4705
150.878906 106.709 -14.2671
151.245117 106.745 -14.0956
151.611328 106.810 -14.1665
151.977539 106.873 -14.5944
152.343750 106.896 -15.2923
152.709961 106.861 -16.0169
153.076172 106.782 -16.5133
153.442383 106.692 -16.6614
153.808594 106.628 -16.5339
154.174805 106.603 -16.3218
154.541016 106.608 -16.1898
154.907227 106.625 -16.1893
155.273438 106.643 -16.2877
155.639648 106.660 -16.4510
156.005859 106.675 -16.6859
156.372070 106.683 -17.0095
156.738281 106.675 -17.3956
157.104492 106.647 -17.7660
157.470703 106.606 -18.0443
157.836914 106.566 -18.2218
158.203125 106.534 -18.3647
158.569336 106.507 -18.5450
158.935547 106.471 -18.7587
159.301758 106.422 -18.9164
159.667969 106.372 -18.9246
160.034180 106.342 -18.7914
160.400391 106.346 -18.6548
160.766602 106.377 -18.6890
161.132812 106.410 -18.9664
161.499023 106.420 -19.4037
161.865234 106.401 -19.8342
162.231445 106.369 -20.1387
162.597656 106.346 -20.3315
162.963867 106.340 -20.5319
163.330078 106.341 -20.8451
163.696289 106.330 -21.2662
164.062500 106.298 -21.6909
164.428711 106.253 -22.0140
164.794922 106.211 -22.2239
165.161133 106.183 -22.4072
165.527344 106.160 -22.6585
165.893555 106.126 -22.9786
166.259766 106.070 -23.2594
166.625977 106.001 -23.3652
166.992188 105.941 -23.2444
167.358398 105.913 -22.9800
167.724609 105.923 -22.7335
168.090820 105.959 -22.6326
168.457031 106.003 -22.7061
168.823242 106.042 -22.9084
169.189453 106.074 -23.1910
169.555664 106.100 -23.5406
169.921875 106.115 -23.9592
170.288086 106.112 -24.4175
170.654297 106.089 -24.8423
171.020508 106.054 -25.1583
171.386719 106.019 -25.3534
171.752930 105.996 -25.4998
172.119141 105.980 -25.6974
172.485352 105.956 -25.9775
172.851562 105.909 -26.2522
173.217773 105.842 -26.3630
173.583984 105.781 -26.2100
173.950195 105.761 -25.8741
174.316406 105.801 -25.6249
174.682617 105.880 -25.7655
175.048828 105.948 -26.4266
175.415039 105.951 -27.4691
175.781250 105.861 -28.5419
176.147461 105.693 -29.2345
176.513672 105.498 -29.2673
176.879883 105.352 -28.6625
177.246094 105.305 -27.7770
177.612305 105.360 -27.1039
177.978516 105.465 -26.9703
178.344727 105.562 -27.3926
178.710938 105.608 -28.1555
179.077148 105.595 -28.9829
179.443359 105.537 -29.6689
179.809570 105.457 -30.1259
180.175781 105.374 -30.3545
180.541992 105.302 -30.3903
180.908203 105.250 -30.2815
181.274414 105.230 -30.1112
181.640625 105.241 -30.0123
182.006836 105.272 -30.1212
182.373047 105.294 -30.4874
182.739258 105.282 -31.0173
183.105469 105.225 -31.5092
183.471680 105.138 -31.7671
183.837891 105.055 -31.7271
184.204102 105.006 -31.5081
184.570312 104.997 -31.3318
184.936523 105.006 -31.3630
185.302734 105.006 -31.6071
185.668945 104.977 -31.9340
186.035156 104.922 -32.1861
186.401367 104.858 -32.2766
186.767578 104.804 -32.2222
187.133789 104.770 -32.1039
187.500000 104.755 -32.0057
187.866211 104.753 -31.9808
188.232422 104.758 -32.0558
188.598633 104.763 -32.2421
188.964844 104.758 -32.5311
189.331055 104.737 -32.8827
189.697266 104.697 -33.2303
190.063477 104.639 -33.5070
190.429688 104.573 -33.6718
190.795898 104.506 -33.7151
191.162109 104.449 -33.6473
191.528320 104.409 -33.4972
191.894531 104.395 -33.3342
192.260742 104.410 -33.2865
192.626953 104.441 -33.4994
192.993164 104.456 -34.0360
193.359375 104.421 -34.7881
193.725586 104.317 -35.4764
194.091797 104.161 -35.7672
194.458008 104.009 -35.4724
194.824219 103.927 -34.7336
195.190430 103.946 -34.0031
195.556641 104.037 -33.7510
195.922852 104.126 -34.1390
196.289062 104.151 -34.9482
196.655273 104.090 -35.7527
197.021484 103.973 -36.1737
197.387695 103.860 -36.0931
197.753906 103.802 -35.7211
198.120117 103.808 -35.4382
198.486328 103.841 -35.5142
198.852539 103.849 -35.9402
199.218750 103.802 -36.4799
199.584961 103.704 -36.8397
199.951172 103.589 -36.8417
200.317383 103.497 -36.5175
200.683594 103.454 -36.0780
201.049805 103.455 -35.7737
201.416016 103.472 -35.7449
201.782227 103.473 -35.9658
202.148438 103.440 -36.2887
202.514648 103.374 -36.5363
202.880859 103.292 -36.5869
